end_lat;end_long;start_lat;start_long;from energypoint;to stage;id;stroke;color_to;color_from
52.4021185;4.8950931;52.4020911;4.8959357;Energy6;Modular;1;3;#14d359;#929493
52.4016152;4.8955587;52.4020911;4.8959357;Energy6;Generator;2;3;#14d360;#929494
52.4015848;4.8971248;52.4020911;4.8959357;Energy6;Skyline;3;3;#14d361;#929495
52.4005584;4.8940882;52.4013274;4.8932774;Energy5;Food;4;3;#14d362;#929496
52.4004826;4.8949245;52.4002376;4.8952346;Energy4;Frequency;5;3;#14d363;#929497
52.4005166;4.8967785;52.4002376;4.8952346;Energy4;Kornuit;6;3;#14d364;#929498
52.3999751;4.8935091;52.3993798;4.8949417;Energy2;Live;7;3;#14d365;#929499
52.3990674;4.8938765;52.3988704;4.8935943;Energy3;AMP;8;3;#14d366;#929500
52.4021717;4.8957388;52.4020911;4.8959357;Energy6;L1;9;3;#14d367;#929501
52.4014983;4.8937644;52.4013274;4.8932774;Energy5;L2;10;3;#14d368;#929502
52.4013262;4.8937493;52.4013274;4.8932774;Energy5;L3;11;3;#14d369;#929503
52.4008773;4.8952068;52.4002376;4.8952346;Energy4;L4;12;3;#14d370;#929504
52.4004021;4.8962411;52.4002376;4.8952346;Energy4;L5;13;3;#14d371;#929505
52.4002726;4.8965685;52.4002376;4.8952346;Energy4;L6;14;3;#14d372;#929506
52.3996123;4.8936929;52.4013274;4.8932774;Energy5;L7;15;3;#14d373;#929507
52.3994031;4.8961637;52.3993038;4.8956886;Energy1;L8;16;3;#14d374;#929508
52.3992632;4.8962967;52.3993038;4.8956886;Energy1;L9;17;3;#14d375;#929509
52.3996123;4.8936929;52.3993798;4.8949417;Energy2;L10;18;3;#14d376;#929510
52.3992932;4.8942978;52.3993798;4.8949417;Energy2;L11;19;3;#14d377;#929511
